@timestamp,agent.type,client.bytes,client.ip,client.port,destination.bytes,destination.domain,destination.ip,destination.port,event.type,host.ip,host.os.version,http.request.body.bytes,http.request.bytes,http.request.headers.content-length,http.request.headers.content-type,http.request.method,http.response.body.bytes,http.response.bytes,http.response.headers.content-length,http.response.headers.content-type,http.response.status_code,http.response.status_phrase,http.version,method,network.direction,network.protocol,network.transport,network.type,query,related.hosts,related.ip,server.bytes,server.domain,server.ip,server.port,source.ip,source.port,status,url.domain,url.extension,url.full,url.full.text,url.path,url.port,url.query,url.scheme,user_agent.original,user_agent.original.text
"Oct 24, 2022 @ 22:16:18.255",packetbeat,235B,172.16.0.9,47952,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,235B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47952,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.252",packetbeat,237B,172.16.0.9,47926,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,237B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47926,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.249",packetbeat,237B,172.16.0.9,47920,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,237B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47920,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.235",packetbeat,176B,172.16.0.9,47906,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47906,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.234",packetbeat,235B,172.16.0.9,47892,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,235B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47892,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.227",packetbeat,236B,172.16.0.9,47866,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,236B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47866,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.227",packetbeat,192B,172.16.0.9,47880,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,192B,0,-,POST,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,POST,egress,http,tcp,ipv4,POST /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47880,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,173B,172.16.0.9,47832,249B,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,173B,0,-,HEAD,-,249B,0,text/html;charset=ISO-8859-1,200,ok,1.1,HEAD,egress,http,tcp,ipv4,HEAD /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",249B,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47832,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,233B,172.16.0.9,47848,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,233B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47848,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,172B,172.16.0.9,47862,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,172B,0,-,GET,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,GET,egress,http,tcp,ipv4,GET /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47862,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.193",packetbeat,172B,172.16.0.9,47806,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,172B,0,-,GET,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,GET,egress,http,tcp,ipv4,GET /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47806,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.193",packetbeat,234B,172.16.0.9,47814,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,234B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47814,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.192",packetbeat,182B,172.16.0.9,47792,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,182B,0,-,GET,"1,014B",1.2KB,"1,014",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /evox/about,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47792,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/evox/about,http://3204_webapp_1.3204_companyABC:8080/evox/about,/evox/about,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.192",packetbeat,183B,172.16.0.9,47780,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,183B,0,-,GET,"1,016B",1.2KB,"1,016",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /favicon.ico,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47780,Error,3204_webapp_1.3204_companyABC,ico,http://3204_webapp_1.3204_companyABC:8080/favicon.ico,http://3204_webapp_1.3204_companyABC:8080/favicon.ico,/favicon.ico,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.177",packetbeat,177B,172.16.0.9,47768,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,177B,0,-,GET,"1,004B",1.2KB,"1,004",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /HNAP1,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47768,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/HNAP1,http://3204_webapp_1.3204_companyABC:8080/HNAP1,/HNAP1,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.176",packetbeat,173B,172.16.0.9,47756,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,173B,0,-,HIUL,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,HIUL,egress,http,tcp,ipv4,HIUL /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47756,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.176",packetbeat,206B,172.16.0.9,47752,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,206B,0,-,PROPFIND,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,PROPFIND,egress,http,tcp,ipv4,PROPFIND /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47752,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.176",packetbeat,233B,172.16.0.9,47758,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,233B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47758,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.056",packetbeat,181B,172.16.0.9,47694,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,181B,0,-,GET,"1,012B",1.2KB,"1,012",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /.git/HEAD,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47694,Error,3204_webapp_1.3204_companyABC,git/HEAD,http://3204_webapp_1.3204_companyABC:8080/.git/HEAD,http://3204_webapp_1.3204_companyABC:8080/.git/HEAD,/.git/HEAD,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.056",packetbeat,187B,172.16.0.9,47718,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,187B,0,-,PROPFIND,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,PROPFIND,egress,http,tcp,ipv4,PROPFIND /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47718,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.056",packetbeat,182B,172.16.0.9,47706,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,182B,0,-,GET,"1,014B",1.2KB,"1,014",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /robots.txt,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47706,Error,3204_webapp_1.3204_companyABC,txt,http://3204_webapp_1.3204_companyABC:8080/robots.txt,http://3204_webapp_1.3204_companyABC:8080/robots.txt,/robots.txt,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.056",packetbeat,638B,172.16.0.9,47734,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),441B,638B,441,-,POST,"1,000B",1.2KB,"1,000",text/html;charset=utf-8,404,not found,1.1,POST,egress,http,tcp,ipv4,POST /sdk,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47734,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/sdk,http://3204_webapp_1.3204_companyABC:8080/sdk,/sdk,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.056",packetbeat,196B,172.16.0.9,47740,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,196B,0,-,GET,1KB,1.2KB,"1,042",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /nmaplowercheck1666620978,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47740,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/nmaplowercheck1666620978,http://3204_webapp_1.3204_companyABC:8080/nmaplowercheck1666620978,/nmaplowercheck1666620978,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,172B,172.16.0.9,47640,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,172B,0,-,GET,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,GET,egress,http,tcp,ipv4,GET /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47640,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,187B,172.16.0.9,47626,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,187B,0,-,PROPFIND,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,PROPFIND,egress,http,tcp,ipv4,PROPFIND /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47626,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,330B,172.16.0.9,47668,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),88B,330B,88,application/x-www-form-urlencoded,POST,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,POST,egress,http,tcp,ipv4,POST /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47668,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/?%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,http://3204_webapp_1.3204_companyABC:8080/?%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,/,8080,%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,176B,172.16.0.9,47652,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47652,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,234B,172.16.0.9,47686,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,234B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47686,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.055",packetbeat,176B,172.16.0.9,47646,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47646,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:08:21.484",packetbeat,235B,172.16.0.9,44942,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,235B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,44942,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
